,id,title,source
0,16ea6b9a-87c1-4b9c-aa51-8175fbe98306,Ngành Bảo hộ lao động,https://admission.tdtu.edu.vn/dai-hoc/nganh-hoc/bao-ho-lao-dong
1,21456de7-cc54-4db5-86c3-001b38c6e16d,Ngành Công nghệ sinh học,https://admission.tdtu.edu.vn/dai-hoc/nganh-hoc/cong-nghe-sinh-hoc
2,19d6fe7b-5724-4e0a-8ea7-54adfa730cbd,Ngành Công tác xã hội,https://admission.tdtu.edu.vn/dai-hoc/nganh-hoc/cong-tac-xa-hoi
3,246435c7-1ad3-496c-8e2c-844fb093786b,Ngành Dược,https://admission.tdtu.edu.vn/dai-hoc/nganh-hoc/duoc
4,fef80a3e-ae0c-4e0f-81e3-890b28e61c8b,Ngành Kế toán,https://admission.tdtu.edu.vn/dai-hoc/nganh-hoc/ke-toan
5,94ee4dc5-31b3-407a-9553-8ecf72b83c6f,Ngành Khoa học máy tính,https://admission.tdtu.edu.vn/dai-hoc/nganh-hoc/khoa-hoc-may-tinh
6,945748db-b46e-4671-b1af-aef7400a48d1,Ngành Khoa học môi trường,https://admission.tdtu.edu.vn/dai-hoc/nganh-hoc/khoa-hoc-moi-truong
7,d24c6b38-3a27-47fb-bdf2-8495afaf74e7,Ngành Kiến trúc,https://admission.tdtu.edu.vn/dai-hoc/nganh-hoc/kien-truc
8,4cf41260-556a-4e10-b1bb-7d9a50f3754b,Ngành Kinh doanh quốc tế,https://admission.tdtu.edu.vn/dai-hoc/nganh-hoc/kinh-doanh-quoc-te
9,6dc8b4f3-b542-4495-a357-cb84e887c1a5,Ngành Kỹ thuật cơ điện tử,https://admission.tdtu.edu.vn/dai-hoc/nganh-hoc/ky-thuat-co-dien-tu
